split,product,group,side,horizon,corr,top5_count,top5_edge,top5_win,top5_pred,all_edge,rank_score
d2_to_d3,OXYGEN_SHAKE_CHOCOLATE,OXYGEN,short,500,0.2438491019148039,41,93.17073059082031,0.6829268292682927,83.92501068115234,3.783393383026123,63.628791622999245
d2_to_d3,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY,short,500,0.16215951648135968,41,89.8536605834961,0.7073170731707317,7.245798110961914,-17.476533889770508,63.555028217594796
d2_to_d3,GALAXY_SOUNDS_BLACK_HOLES,GALAXY,long,200,0.0711377155356995,41,89.80487823486328,0.7073170731707317,47.14994812011719,-1.8567990064620972,63.520523629537436
d2_to_d3,OXYGEN_SHAKE_GARLIC,OXYGEN,short,200,0.18945355951063053,41,87.46341705322266,0.7073170731707317,-47.8197021484375,-12.950661659240723,61.86436815959651
d2_to_d3,MICROCHIP_OVAL,MICROCHIP,long,1000,0.3357141064203465,41,97.29268646240234,0.6341463414634146,197.0869903564453,-162.26473999023438,61.69780117127954
d2_to_d3,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY,short,200,0.128035972237907,41,69.17073059082031,0.8780487804878049,38.6591796875,-35.56438064575195,60.735275640720275
d2_to_d3,MICROCHIP_RECTANGLE,MICROCHIP,long,200,0.20314180243898428,41,84.19512176513672,0.7073170731707317,28.036766052246094,-34.95668029785156,59.55264710216987
d2_to_d3,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY,long,1000,0.19080010999459035,41,91.24390411376953,0.6341463414634146,112.00357055664062,5.62454891204834,57.86198797458556
d2_to_d3,SLEEP_POD_NYLON,SLEEP,long,500,0.3408714587875192,41,88.70731353759766,0.6341463414634146,-37.443180084228516,25.743682861328125,56.25341834091559
d2_to_d3,ROBOT_VACUUMING,ROBOT,short,200,0.24644643541449415,41,79.07317352294922,0.7073170731707317,-16.42667007446289,21.145606994628906,55.929805662573834
d2_to_d3,SNACKPACK_STRAWBERRY,SNACKPACK,long,1000,0.29917640188641004,41,78.41463470458984,0.7073170731707317,110.8048324584961,19.392297744750977,55.46400991300257
d2_to_d3,SLEEP_POD_NYLON,SLEEP,short,500,0.337711552730671,41,75.0,0.7317073170731707,162.03012084960938,-41.41877365112305,54.8780487804878
d2_to_d3,TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,short,500,0.18717502503113376,41,82.36585235595703,0.6585365853658537,20.847572326660156,19.788206100463867,54.24092716124
d2_to_d3,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY,short,200,0.12354451951258247,41,73.63414764404297,0.7317073170731707,-7.831021785736084,-13.646209716796875,53.878644617592414
d2_to_d3,ROBOT_DISHES,ROBOT,long,200,0.24494560977185,41,73.1463394165039,0.7317073170731707,25.400745391845703,-2.033694267272949,53.52171176817359
d2_to_d3,PANEL_2X4,PANEL,long,200,0.13382126725446472,41,84.24390411376953,0.6341463414634146,64.9896469116211,2.439229726791382,53.42296358434165
d2_to_d3,PEBBLES_XS,PEBBLES,long,200,0.1481185190532342,41,66.26829528808594,0.8048780487804879,15.07443618774414,-31.107099533081055,53.33789620748381
d2_to_d3,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY,short,1000,0.17302228441342943,41,80.34146118164062,0.6585365853658537,31.724546432495117,-32.09747314453125,52.9077915098609
d2_to_d3,SLEEP_POD_SUEDE,SLEEP,short,1000,0.49678217174816813,41,91.0243911743164,0.5609756097560976,3.0835978984832764,-99.55475616455078,51.06246334168969
d2_to_d3,SNACKPACK_STRAWBERRY,SNACKPACK,long,500,0.2894485363133231,41,64.41463470458984,0.7804878048780488,61.538883209228516,4.564380168914795,50.27483684260671
d2_to_d3,TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,long,500,0.19966264111097132,41,76.1219482421875,0.6585365853658537,135.2774200439453,-36.56077194213867,50.12908786680641
